date,time,currency,amount,note,category,subcategory,aspect,venue
6/1/14,13:56:37 -0400,$,6.41,N/A,food & drinks,fastfood,basics,Jimmy John's
6/1/14,13:42:05 -0400,$,6.85,Ebay ship,general,N/A,work,Office Depot
5/31/14,21:51:27 -0400,$,7.12,N/A,food & drinks,N/A,basics,Chipotle Mexican Grill
5/30/14,22:15:51 -0400,$,39.9,N/A,transport & travel,N/A,work,QuikTrip
5/30/14,22:13:13 -0400,$,8.63,N/A,general,N/A,work,Kung Fu Tea
5/30/14,14:41:30 -0400,$,7.89,N/A,food & drinks,drinks,basics,"Tower Beer, Wine & Spirits"
5/30/14,07:14:16 -0400,$,4.74,N/A,food & drinks,fastfood,basics,McDonald's
5/29/14,13:08:36 -0400,$,18.46,N/A,food & drinks,drinks,basics,The Barrelhouse
5/29/14,09:32:01 -0400,$,3.26,N/A,general,N/A,work,Office Depot
5/29/14,09:29:40 -0400,$,11.44,N/A,food & drinks,N/A,work,Whole Foods Market
5/27/14,23:25:37 -0400,$,9.03,N/A,food & drinks,fastfood,basics,The Varsity
5/27/14,10:02:46 -0400,$,2.6,N/A,food & drinks,cafÃ©,basics,The Green Bean Coffee Shop
5/27/14,08:26:32 -0400,$,3.82,N/A,food & drinks,cafÃ©,basics,Cox Hall (Emory University)
5/26/14,19:03:56 -0400,$,25.06,N/A,food & drinks,N/A,work,Publix Super Market at Ponce
5/26/14,14:37:25 -0400,$,2.7,N/A,food & drinks,cafÃ©,basics,Octane Coffee
5/25/14,20:11:52 -0400,$,14,N/A,food & drinks,fastfood,basics,Fox Bros. Bar-B-Q
5/24/14,23:45:21 -0400,$,5.25,N/A,food & drinks,dining out,work,Atkins Park Tavern
5/24/14,23:45:03 -0400,$,7.5,N/A,food & drinks,fastfood,basics,Cook-Out
5/24/14,14:05:05 -0400,$,17.85,N/A,food & drinks,fastfood,basics,Checkers
5/24/14,14:04:29 -0400,$,20,N/A,fun,N/A,social,Flip Flops
5/24/14,14:04:12 -0400,$,15,N/A,transport & travel,parking,basics,Piedmont Parking
5/24/14,00:01:17 -0400,$,15,N/A,fun,N/A,social,Front Page News
5/24/14,00:00:38 -0400,$,14.5,N/A,fun,N/A,social,RÃ_ RÃ¡ Irish Pub
5/23/14,04:35:21 -0400,$,6.94,N/A,food & drinks,fastfood,basics,Chick-fil-A
5/22/14,20:59:10 -0400,$,9.64,N/A,general,N/A,work,Office Depot
5/21/14,13:52:30 -0400,$,13.05,N/A,general,N/A,work,N/A
5/20/14,23:10:28 -0400,$,3.16,N/A,food & drinks,N/A,basics,Sweet Hut Bakery & Cafe
5/20/14,13:51:12 -0400,$,11.13,N/A,food & drinks,N/A,basics,Sweet Hut Bakery & Cafe
5/20/14,13:50:33 -0400,$,18,N/A,personal,personal care,work,Hair Capital
5/19/14,20:58:03 -0400,$,40.4,N/A,transport & travel,gas,basics,QuikTrip
5/19/14,20:54:58 -0400,$,63.54,N/A,food & drinks,N/A,work,Trader Joe's
5/19/14,13:34:49 -0400,$,7.8,Shipping ebay supplies,general,N/A,work,Office Depot
5/18/14,16:00:12 -0400,$,7.8,N/A,food & drinks,N/A,basics,ZoÃ«s Kitchen
5/18/14,16:00:02 -0400,$,20,N/A,food & drinks,cafÃ©,basics,Starbucks
5/17/14,22:06:43 -0400,$,9.5,N/A,house,groceries,work,Kroger
5/17/14,22:06:26 -0400,$,24.5,N/A,food & drinks,N/A,basics,No Mas! Cantina
5/16/14,14:06:23 -0400,$,2,N/A,food & drinks,N/A,basics,Biotechnology Building (IBB)
5/16/14,12:34:21 -0400,$,7,N/A,food & drinks,fastfood,basics,Student Center Food Court
5/15/14,20:36:08 -0400,$,28.59,N/A,food & drinks,N/A,basics,Chili's Grill & Bar
5/15/14,20:32:12 -0400,$,57.31,N/A,food & drinks,N/A,basics,Kroger
5/15/14,13:14:02 -0400,$,1.83,N/A,food & drinks,cafÃ©,basics,Starbucks
5/14/14,17:03:13 -0400,$,2.86,N/A,fun,books,work,Barnes & Noble
5/14/14,12:42:36 -0400,$,8,N/A,food & drinks,fastfood,basics,Nana G's Chicken & waffles
5/13/14,20:46:38 -0400,$,2.94,N/A,food & drinks,N/A,basics,Cafe 10
5/13/14,20:46:32 -0400,$,5.92,N/A,food & drinks,fastfood,basics,Checkers
